season,player,position,height_cm,stand_cm,weight_kg,jump_cm
2020-21,Zeke Nnaji,C_PF,206.375,267.97,112.0472,96.52
2020-21,Yoeli Childs,PF,198.12,269.24,102.7856,97.79
2020-21,Xavier Tillman Sr.,C_PF,201.93,269.24,120.991,82.55
2020-21,Udoka Azubuike,C,208.28,276.86,117.813,104.14
2020-21,Tyrell Terry,PG,186.69,243.84,77.18,86.36
2020-21,Tyler Bey,PF,198.12,267.97,96.6112,110.49
2020-21,Ty-Shon Alexander,SG,187.96,254,91.1632,83.82
2020-21,Trent Forrest,PG,191.77,260.35,92.162,87.63
2020-21,Theo Maledon,PG,193.04,255.27,85.0796,
2020-21,Skylar Mays,SG,190.5,251.46,92.616,95.25
2020-21,Robert Woodard II,SF,196.85,267.97,104.5108,96.52
2020-21,Reggie Perry,C_PF,203.835,270.51,113.3184,85.09
2020-21,Precious Achiuwa,PF,201.93,275.59,106.236,
2020-21,Paul Reed Jr.,PF,204.47,278.13,99.5168,95.25
2020-21,Paul Eboua,PF_SF,198.12,274.32,100.8788,90.17
2020-21,Nick Richards,C,209.55,279.4,109.6864,86.36
2020-21,Nathan Knight,C_PF,203.2,278.13,106.69,80.01
2020-21,Naji Marshall,SF,197.485,260.35,106.009,88.9
2020-21,Myles Powell,SG_PG,184.15,251.46,88.076,
2020-21,Mason Jones,SG,192.405,260.35,94.0688,78.74
2020-21,Markus Howard,PG,176.53,232.41,77.5432,90.17
2020-21,Mamadi Diakite,PF,204.47,271.78,100.8334,93.98
2020-21,Lamar Stevens,PF_SF,197.485,256.54,103.512,104.14
2020-21,Killian Tillie,PF,205.105,269.24,100.6064,81.28
2020-21,Kenyon Martin Jr.,PF_SF,198.12,259.08,96.7928,97.79
2020-21,Karim Mane,SG_PG,195.58,259.08,88.984,91.44
2020-21,Kaleb Wesson,C,206.375,283.21,114.6804,68.58
2020-21,Kahlil Whitney,SF,196.85,267.97,93.07,99.06
2020-21,Joshua Hall,SF,198.12,265.43,89.2564,95.25
2020-21,Josh Green,SF_SG,194.31,257.81,97.156,100.33
2020-21,Jordan Nwora,PF_SF,197.485,264.16,101.242,88.9
2020-21,Jayden Scrubb,SF_SG,195.58,265.43,84.0808,
2020-21,Jalen Smith,C_PF,206.375,279.4,101.9684,
2020-21,Jalen Harris,SG,189.865,247.65,87.8036,107.95
2020-21,Jahmi'us Ramsey,SG,189.23,255.27,87.8036,
2020-21,Isaiah Stewart,C,201.295,275.59,110.322,
2020-21,Isaiah Joe,SG,190.5,256.54,77.3616,
2020-21,Immanuel Quickley,SG,187.96,251.46,84.3532,90.17
2020-21,Grant Riller,SG_PG,183.515,245.11,80.9936,100.33
2020-21,Elijah Hughes,SF_SG,194.945,257.81,103.966,
2020-21,Devon Dotson,PG,184.15,241.3,84.0808,102.87
2020-21,Cassius Winston,PG,184.15,246.38,88.984,71.12
2020-21,Cassius Stanley,SG,195.58,252.73,91.5264,111.76
2020-21,CJ Elleby,SF_SG,196.85,255.27,90.1644,92.71
2020-21,Ashton Hagans,PG,186.69,252.73,87.622,92.71
2019-20,Admiral Schofield,SF,193.04,260.35,109.2324,86.36
2019-20,Bol Bol,C,215.265,293.37,94.432,
2019-20,Brandon Clarke,SF,201.295,259.08,94.0688,102.87
2019-20,Brian Bowen II,SF,198.755,261.62,90.8,90.17
2019-20,Bruno Fernando,C,205.105,279.4,107.598,85.09
2019-20,Cameron Johnson,SG,200.66,261.62,93.1608,92.71
2019-20,Cameron Reddish,SF,199.39,267.97,94.3412,
2019-20,Carsen Edwards,PG,179.705,240.03,90.5276,86.36
2019-20,Charles Bassey,C,205.105,278.13,108.506,83.82
2019-20,Charles Matthews,SG,195.58,261.62,88.4392,95.25
2019-20,Coby White,PG,191.77,247.65,86.8956,
2019-20,Cody Martin,SG_PG,194.945,260.35,87.2588,90.17
2019-20,DaQuan Jeffries,PF_SF,193.04,264.16,97.8824,
2019-20,Daniel Gafford,PF,206.375,279.4,107.8704,92.71
2019-20,Darius Bazley,PF,202.565,271.78,94.6136,93.98
2019-20,Darius Garland,PG,,,,
2019-20,Dedric Lawson,PF,200.66,273.05,105.782,66.04
2019-20,Devon Dotson,PG,182.88,242.57,81.0844,97.79
2019-20,Dewan Hernandez,C,205.74,271.78,105.6912,90.17
2019-20,Dylan Windler,SF,198.755,265.43,88.8932,95.25
2019-20,Eric Paschall,SF,198.12,262.89,115.4976,96.52
2019-20,Grant Williams,PF,197.485,265.43,109.0508,80.01
2019-20,Ignas Brazdeikis,SF,197.485,259.08,100.2432,92.71
2019-20,Isaiah Roby,PF,201.295,269.24,97.156,90.17
2019-20,Ja Morant,PG,,,,
2019-20,Jalen Hoard,PF,201.295,267.97,96.5204,90.17
2019-20,Jalen Lecque,PG,189.23,250.19,84.0808,109.22
2019-20,Jalen McDaniels,SF,203.835,267.97,86.9864,85.09
2019-20,Jared Harper,PG,177.165,238.76,76.8168,102.87
2019-20,Jarrett Culver,SG,196.215,255.27,88.1668,
2019-20,Jaxson Hayes,PF,208.915,280.67,99.2444,87.63
2019-20,Jaylen Hands,PG,186.69,246.38,81.9016,105.41
2019-20,Jaylen Nowell,SG,191.135,248.92,91.8896,97.79
2019-20,Jontay Porter,PF,207.645,278.13,95.5216,
2019-20,Jordan Bone,SG,186.69,241.3,81.266,107.95
2019-20,Jordan Nwora,PF,197.485,261.62,99.88,
2019-20,Jordan Poole,SG,191.77,252.73,86.6232,90.17
2019-20,KZ Okpala,SF,201.295,270.51,95.1584,93.98
2019-20,Keldon Johnson,SG,194.945,264.16,98.2456,
2019-20,Kevin Porter Jr.,SG,193.04,261.62,96.5204,86.36
2019-20,Kris Wilkes,SF,198.755,261.62,94.7952,88.9
2019-20,Ky Bowman,PG,185.42,248.92,82.2648,83.82
2019-20,Kyle Guy,SG,184.785,242.57,76.1812,92.71
2019-20,Louis King,SF,200.025,265.43,88.6208,83.82
2019-20,Luguentz Dort,PG,189.865,252.73,100.8788,96.52
2019-20,Luka Samanic,PF,207.01,271.78,103.1488,96.52
2019-20,Marial Shayok,PF_SF,194.31,262.89,89.3472,92.71
2019-20,Mfiondu Kabengele,PF,205.105,278.13,116.3148,90.17
2019-20,Miye Oni,SG,193.675,255.27,93.3424,97.79
2019-20,Moses Brown,C,216.535,287.02,107.6888,78.74
2019-20,Nassir Little,SF,194.31,265.43,101.7868,97.79
2019-20,Naz Reid,PF,205.105,276.86,116.1332,82.55
2019-20,Neemias Queta,C,210.185,283.21,102.5132,82.55
2019-20,Nickeil Alexander-Walker,SG,193.675,259.08,92.5252,
2019-20,Nicolas Claxton,C,208.28,279.4,98.3364,92.71
2019-20,O'Shae Brissett,PF_SF,200.66,264.16,92.2528,95.25
2019-20,P.J. Washington,PF,199.39,270.51,104.6016,
2019-20,Quentin Grimes,SG,193.04,255.27,95.1584,91.44
2019-20,Quinndary Weatherspoon,SG,190.5,254,93.7964,96.52
2019-20,RJ Barrett,SF,,,,
2019-20,Reggie Perry,PF_SF,203.2,269.24,113.8632,80.01
2019-20,Romeo Langford,SG,194.31,261.62,,
2019-20,Shamorie Ponds,PG,181.61,245.11,81.72,93.98
2019-20,Simisola Shittu,PF,204.47,269.24,103.1488,90.17
2019-20,Tacko Fall,C,226.695,311.15,131.1152,67.31
2019-20,Talen Horton-Tucker,SG,189.23,261.62,106.8716,87.63
2019-20,Terance Mann,SF_SG,194.945,256.54,92.8884,97.79
2019-20,Terence Davis,SG,190.5,256.54,87.3496,86.36
2019-20,Tremont Waters,PG,176.53,237.49,78.2696,102.87
2019-20,Ty Jerome,PG,193.675,248.92,88.2576,80.01
2019-20,Tyler Cook,PF,201.295,270.51,111.4116,81.28
2019-20,Tyler Herro,SG,194.31,255.27,87.3496,
2019-20,Zach Norvell Jr.,SG,194.31,256.54,93.7056,76.2
2019-20,Zion Williamson,PF,,,,
2018-19,Zhaire Smith,SF_SG,189.865,254,90.1644,105.41
2018-19,Yante Maten,C_PF,201.295,273.05,111.7748,80.01
2018-19,Wendell Carter,C_PF,205.105,276.86,114.1356,
2018-19,Udoka Azubuike,C,208.28,285.75,124.3052,80.01
2018-19,Tyus Battle,SG,195.58,259.08,90.8908,95.25
2018-19,Troy Brown,SF,197.485,266.7,94.432,83.82
2018-19,Trevon Duval,PG,186.69,247.65,86.714,105.41
2018-19,Trae Young,PG,184.15,242.57,80.7212,
2018-19,Tony Carr,PG,190.5,254,90.2552,80.01
2018-19,Theo Pinson,SF_SG,195.58,262.89,95.8848,86.36
2018-19,Sviatoslav Mykhailiuk,SF_SG,199.39,254,96.0664,93.98
2018-19,Shake Milton,SG_PG,194.31,252.73,94.0688,83.82
2018-19,Shai Gilgeous-Alexander,PG,194.31,264.16,81.72,
2018-19,Sagaba Konate,C,199.39,270.51,111.684,88.9
2018-19,Ray Spalding,PF,205.74,276.86,97.7916,81.28
2018-19,Rawle Alkins,SG,189.865,251.46,98.6996,102.87
2018-19,PJ Washington,PF,199.39,271.78,101.242,86.36
2018-19,Omari Spellman,C_PF,203.2,273.05,115.2252,90.17
2018-19,Moritz Wagner,C_PF,209.55,274.32,109.5956,86.36
